posterId,wordId
3,1
3,2
3,3
4,1
4,4
5,1
5,5
5,6
5,7
6,8
6,9
7,10
7,11
7,12
8,1
8,13
8,14
8,15
8,16
9,17
9,18
9,19
9,20
11,4
11,21
11,22
12,23
12,24
12,20
13,2
13,17
13,1
14,24
14,10
14,25
15,26
15,27
15,28
17,20
17,17
17,29
17,30
18,31
18,32
19,33
19,34
19,35
19,36
19,37
20,38
21,39
21,17
21,40
21,12
22,41
22,17
22,42
23,43
23,44
23,45
23,11
23,34
24,46
24,40
24,10
24,47
25,44
25,48
25,49
25,38
25,34
25,47
25,50
25,28
26,51
26,6
26,12
26,22
26,10
26,45
27,17
27,52
27,53
27,20
27,38
28,50
28,15
28,40
28,54
29,10
29,38
29,55
30,43
30,44
30,38
30,56
30,57
31,10
31,58
31,38
32,55
32,53
32,40
32,56
32,57
33,59
33,60
33,61
33,43
33,34
34,62
34,39
34,44
34,1
34,63
35,1
35,64
35,65
35,55
36,39
36,17
36,66
36,67
36,38
36,34
37,44
37,68
37,50
37,15
37,54
38,50
38,15
38,44
38,41
38,48
38,49
39,69
39,70
39,12
39,20
39,44
40,20
40,44
40,50
40,71
40,47
41,72
41,73
41,20
42,74
42,75
42,76
43,69
43,77
43,17
43,1
43,78
44,79
44,20
44,80
44,81
44,34
46,17
46,78
46,75
47,77
47,17
47,1
47,78
47,63
48,2
48,82
48,32
49,4
49,3
49,83
50,1
50,13
50,53
50,84
51,79
51,46
51,85
51,86
51,87
52,2
52,38
52,12
53,39
53,1
53,88
53,17
53,89
54,39
54,17
54,21
54,44
54,90
55,91
55,92
55,44
56,93
56,94
56,95
57,1
57,7
57,34
58,53
58,96
58,38
59,97
59,72
60,3
60,98
60,99
60,100
60,101
61,1
61,20
61,102
62,10
62,8
63,103
63,69
63,92
63,104
63,105
64,46
64,38
64,50
65,44
65,106
66,107
66,108
66,109
66,17
67,110
67,38
67,34
67,111
67,112
68,1
68,113
68,114
68,115
69,17
70,53
70,116
70,117
70,118
70,119
70,120
71,17
71,121
71,114
71,122
72,15
72,123
72,124
73,125
73,17
73,126
73,127
73,128
73,129
74,20
74,130
74,131
75,132
75,133
76,77
76,38
77,20
77,44
77,1
77,134
78,1
78,5
78,4
78,38
78,53
78,87
78,135
79,77
79,17
79,1
79,78
79,136
80,1
80,75
81,1
81,98
81,137
81,138
83,1
83,78
83,22
83,139
84,2
84,140
84,82
84,141
84,142
85,10
85,143
85,3
86,1
86,144
86,145
87,17
87,1
87,14
88,10
88,146
88,101
88,23
89,1
89,10
89,3
90,1
90,147
90,148
91,46
91,43
91,59
91,111
91,149
91,50
91,38
91,34
91,150
91,28
91,151
92,69
92,152
92,153
94,69
94,10
94,20
94,4
94,46
95,1
95,52
95,15
95,50
97,154
97,155
97,134
97,156
97,157
97,158
97,146
98,108
98,103
98,159
99,2
99,12
99,160
99,15
101,17
101,82
101,161
104,1
104,17
104,162
104,82
104,163
105,19
105,82
105,164
106,1
106,98
106,22
106,41
107,1
107,165
107,7
108,31
108,166
108,50
108,167
109,168
110,53
110,169
110,170
111,19
112,171
112,172
112,81
112,162
112,161
112,173
113,1
113,78
113,174
114,172
114,75
114,175
114,7
115,17
115,176
115,50
116,177
116,53
116,103
117,178
118,179
118,178
118,30
118,180
119,179
119,181
119,182
120,39
120,30
120,183
121,38
121,50
121,184
122,1
122,147
122,128
123,1
123,165
123,185
124,1
124,172
124,19
125,1
125,78
125,186
125,187
126,171
126,1
127,17
127,1
127,78
127,188
127,92
127,189
127,190
127,191
127,146
127,192
129,17
129,78
129,193
129,126
129,153
130,194
130,29
130,195
130,30
130,154
130,196
131,12
131,154
131,197
132,53
132,198
134,172
134,199
134,175
135,200
136,85
136,21
136,201
136,3
137,46
137,166
137,67
137,38
138,34
138,105
141,103
141,202
142,1
142,165
142,203
142,10
143,17
143,1
143,14
143,71
143,34
144,19
144,3
144,124
145,34
145,204
145,53
146,6
146,115
147,1
147,165
147,205
149,1
149,128
149,174
149,206
150,78
150,207
150,173
150,175
151,208
151,173
151,163
152,59
152,10
152,61
154,1
154,8
154,209
154,210
154,34
154,28
154,211
155,212
155,11
155,34
157,38
157,213
157,214
158,82
158,215
158,216
159,4
159,76
159,38
160,20
160,8
160,10
160,45
161,217
161,218
161,219
161,220
161,97
162,221
162,222
163,44
163,223
163,224
163,49
163,225
164,1
164,17
164,226
165,53
165,227
165,10
165,98
165,38
165,3
165,143
166,44
166,228
166,229
168,98
168,230
168,166
168,34
169,231
169,78
169,1
169,148
170,44
170,50
170,232
171,50
171,233
171,202
172,234
172,15
172,115
173,20
173,55
173,67
173,235
173,214
173,236
174,17
174,102
174,20
174,38
175,237
175,238
175,239
175,240
175,241
175,194
175,1
176,10
176,225
176,20
176,1
176,242
176,243
177,115
177,244
177,192
177,10
177,106
178,175
178,245
178,246
178,3
178,247
179,115
179,248
179,20
179,38
179,67
180,20
180,17
180,219
180,249
181,108
181,250
183,20
183,17
183,251
183,10
183,252
184,1
184,5
184,253
184,10
185,1
185,5
185,254
186,78
186,255
186,256
188,1
188,53
189,20
189,171
189,172
189,257
190,33
190,258
190,259
190,104
190,105
190,115
191,93
191,15
191,191
192,1
192,165
192,103
193,75
193,260
193,261
194,38
194,262
194,136
195,38
195,10
197,1
197,165
197,203
197,104
197,105
198,1
198,93
198,46
198,263
208,145
208,103
208,100
208,108
208,264
