posterId,wordId
3,1
3,2
3,3
4,1
4,4
5,1
5,5
5,6
6,7
6,8
7,9
7,10
7,11
8,1
8,12
8,13
8,14
8,15
9,16
9,17
9,18
9,19
11,4
11,20
11,21
12,22
12,23
12,19
12,24
13,2
13,16
13,1
14,22
14,23
14,9
14,25
14,26
15,27
15,28
15,29
17,19
17,16
17,30
17,31
18,32
18,33
19,34
19,35
19,36
19,37
19,38
20,22
20,23
20,39
21,40
21,16
21,41
21,11
22,42
22,16
22,43
23,44
23,45
23,46
23,10
23,35
24,47
24,41
24,9
24,48
24,49
25,45
25,50
25,51
25,39
25,35
25,48
25,49
25,52
25,29
26,5
26,11
26,21
26,9
26,46
27,16
27,53
27,54
27,19
27,39
28,52
28,14
28,41
28,48
28,49
29,9
29,39
29,25
30,44
30,45
30,39
30,55
30,56
31,9
31,57
31,58
31,39
32,25
32,54
32,41
32,55
32,56
33,57
33,58
33,59
33,44
33,35
34,60
34,40
34,45
34,1
34,61
35,1
35,62
35,63
35,25
36,40
36,16
36,64
36,65
36,66
36,39
36,35
37,45
37,67
37,68
37,52
37,14
37,48
37,49
38,52
38,14
38,45
38,42
38,50
38,51
39,69
39,70
39,11
39,19
39,45
40,19
40,45
40,52
40,71
40,72
40,48
40,49
41,73
41,74
41,19
42,75
42,76
42,77
43,69
43,78
43,16
43,1
43,79
44,80
44,81
44,19
44,82
44,83
44,84
44,35
46,16
46,79
46,76
47,78
47,16
47,1
47,79
47,61
48,2
48,85
48,33
49,4
49,3
49,86
50,1
50,12
50,54
51,80
51,47
51,87
51,88
51,89
52,2
52,39
52,11
53,40
53,1
53,90
53,16
53,91
54,40
54,16
54,20
54,45
54,92
55,93
55,94
55,45
56,95
56,96
56,97
56,32
57,1
57,6
57,35
58,54
58,98
58,99
58,39
58,100
59,101
59,73
60,3
60,102
60,103
60,104
60,105
61,1
61,19
61,106
62,9
62,7
63,107
63,69
63,94
63,108
63,109
64,47
64,39
64,52
65,45
65,110
66,111
66,112
66,113
66,114
66,16
67,39
67,29
67,35
67,115
67,26
68,1
68,116
68,117
68,118
68,113
68,119
69,16
70,54
70,120
70,118
70,121
71,16
71,122
71,113
71,118
71,123
72,14
72,124
73,125
73,16
73,98
73,126
73,127
73,100
74,19
74,128
74,129
75,130
75,131
76,78
76,39
77,19
77,45
77,1
77,132
78,1
78,4
78,39
78,54
78,89
78,133
79,78
79,16
79,1
79,79
79,134
80,1
80,76
81,1
81,102
81,135
81,136
81,137
83,1
83,79
83,21
83,138
84,2
84,139
84,85
84,140
84,141
85,9
85,142
85,3
86,1
86,143
86,144
87,16
87,1
87,13
88,9
88,145
88,105
88,22
89,1
89,9
89,3
90,1
90,146
90,147
91,47
91,44
91,57
91,115
91,148
91,52
91,39
91,35
91,149
91,29
91,150
91,42
92,69
92,151
92,152
94,69
94,9
94,19
94,4
94,47
95,1
95,53
95,14
95,52
97,153
97,154
97,132
97,155
97,156
97,157
97,135
97,145
98,113
98,107
98,158
99,2
99,11
99,159
99,14
101,16
101,85
101,160
104,1
104,16
104,161
104,85
104,162
105,18
105,85
105,163
106,1
106,102
106,21
106,42
107,1
107,164
107,6
108,32
108,165
108,52
108,166
109,167
109,104
110,54
110,168
110,169
111,18
111,170
112,171
112,172
112,84
112,161
112,160
112,173
113,1
113,79
113,174
114,172
114,76
114,175
114,6
115,16
115,176
115,52
116,177
116,54
116,107
117,178
117,179
117,180
118,181
118,178
118,31
118,182
119,183
119,181
119,184
119,185
120,40
120,31
120,186
121,39
121,52
121,187
122,1
122,146
122,127
123,1
123,164
123,188
124,1
124,172
124,18
125,1
125,79
125,189
125,190
125,191
126,171
126,1
127,16
127,1
127,79
127,192
127,94
127,193
127,194
127,195
127,145
127,196
129,16
129,79
129,197
129,98
129,152
130,198
130,30
130,199
130,31
130,153
130,200
131,11
131,153
131,201
132,183
132,54
132,202
134,172
134,203
134,175
135,204
136,87
136,20
136,205
136,3
137,47
137,165
137,66
137,39
138,183
138,35
138,109
141,107
141,206
142,1
142,164
142,207
142,9
143,16
143,1
143,13
143,71
143,35
144,18
144,3
145,35
145,208
145,54
146,5
146,119
147,1
147,164
147,209
147,210
149,1
149,127
149,211
149,174
149,212
150,79
150,213
150,173
150,175
151,214
151,173
151,162
152,57
152,9
152,59
154,1
154,7
154,215
154,216
154,35
154,29
154,217
155,218
155,219
155,10
155,35
157,39
157,220
157,221
158,85
158,222
158,223
159,4
159,77
159,39
160,19
160,7
160,9
160,46
161,224
161,225
161,211
161,226
161,101
162,74
163,45
163,227
163,228
163,51
163,67
164,1
164,16
164,229
165,54
165,230
165,9
165,102
165,39
165,3
165,142
166,45
166,231
166,14
166,32
168,102
168,232
168,165
168,35
169,79
169,1
169,233
169,147
170,45
170,52
170,234
171,52
171,235
171,206
172,236
172,14
172,119
173,19
173,25
173,81
173,66
173,237
173,221
173,238
174,16
174,106
174,19
174,39
175,239
175,29
175,240
175,241
175,242
175,243
175,198
175,1
176,9
176,67
176,19
176,1
176,244
176,245
177,119
177,83
177,196
177,9
177,110
178,175
178,246
178,247
178,3
178,248
179,119
179,249
179,19
179,39
179,66
180,19
180,16
180,211
180,250
181,113
181,251
181,252
183,19
183,16
183,253
183,254
183,9
183,255
183,256
184,1
184,257
184,9
185,1
185,258
186,79
186,259
186,260
188,1
188,54
189,19
189,171
189,172
189,56
189,237
190,34
